County,Market Name,Market Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Albany,Altamont Orchards Farm Stand,6654 Dunnsville Road Altamont,6654 Dunnsville Road,Altamont,NY,12009,Jim Abbruzzese,5188616515,http://www.altamontorchards.com,"Mon-Fri 10am-5pm, Sat-Sun 10am-4:30pm",June 14-November 20,M,Y,N,N,Y,42.72256,-74.01493,"(42.72256, -74.01493)"
Albany,Empire State Plaza Wed Farmers' Market,"Empire State Plaza, (Winter inside South Concourse)",170 State St,Albany,NY,12210,Nicholas DeBlois,5184863966,https://empirestateplaza.ny.gov/empire-state-plaza-farmers-market,Wednesday  10am-2pm,Year-round,YR,N,Y,N,Y,42.65068,-73.758,"(42.65068, -73.758)"
Albany,New Covenant Farmers' Market,"New Covenant Presbyterian Church, 916 Western Ave. Albany",916 Western Ave,Albany,NY,12203,Katy Stenta,5184828063,,Tuesday  3pm-6pm,May 17-September 27,M,N,N,N,Y,42.67228,-73.81026,"(42.67228, -73.81026)"
Albany,The Gade Farm Farm Stand,2479 Western Avenue Altamont,2479 Western Avenue,Altamont,NY,12009,Amy Castillo,5188698019,http://www.gadefarm.com,"Sunday  9am-4pm, Mon-Sat 9am-6pm",Year-round,YR,N,N,N,Y,42.71055,-73.92593,"(42.71055, -73.92593)"
Albany,Veggie Mobile-Arbor Hill/Oak Street Park,Oak Street & Second Street Albany,Second Street & Oak Street,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 12:45pm-1:30pm,Year-round,YR,N,Y,N,Y,42.6629,-73.76094,"(42.6629, -73.76094)"
Albany,Veggie Mobile-Center for Disability,700 South Pearl Street Albany,700 South Pearl Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 12:15pm-1pm,Year-round,YR,N,Y,N,Y,42.63003,-73.76585,"(42.63003, -73.76585)"
Albany,Veggie Mobile-Cohoes Senior Ctr,100 Cayuga Plaza Cohoes,100 Cayuga Plaza,Cohoes,NY,12047,Audrey Bridge,5182748685,http://www.capitalroots.org,Wednesday 3pm-4pm,Year-round,YR,N,Y,N,Y,42.77712,-73.70101,"(42.77712, -73.70101)"
Albany,Veggie Mobile-Howe Library,Schuyler & Broad St. Albany,Schuyler St and Broad Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 3pm-3:45pm,Year-round,YR,N,Y,N,Y,42.64112,-73.75802,"(42.64112, -73.75802)"
Albany,Veggie Mobile-Koinonia Primary Care,553 Clinton Ave. & N. Lake Ave. Albany,553 Clinton Avenue,Albany,NY,12206,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 2pm-2:45pm,Year-round,YR,N,Y,N,Y,42.66508,-73.76804,"(42.66508, -73.76804)"
Albany,Veggie Mobile-South Mall Towers,101 S. Pearl St. Albany,101 South Pearl Street,Albany,NY,12207,Audrey Bridge,5182748685,http://www.capitalroots.org,Fri  11am-12:15pm,Year-round,YR,N,Y,N,Y,42.6465,-73.75482,"(42.6465, -73.75482)"
Albany,Veggie Mobile Sprout-Creighton Storey Homes,158 3rd Street Albany,158 3rd Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 3:45pm-4:15pm,Year-round,YR,N,Y,N,Y,42.66205,-73.7578,"(42.66205, -73.7578)"
Albany,Veggie Mobile Sprout-Robert Whalen,305 Colonie Street Albany,305 Colonie Street,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 11:15am-12pm,Year-round,YR,N,Y,N,Y,42.66338,-73.75595,"(42.66338, -73.75595)"
Albany,Veggie Mobile Sprout-St. Sophia Church,440 Whitehall Rd. Albany,440 Whitehall Road,Albany,NY,12208,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12:15pm-1:15pm,Year-round,YR,N,Y,N,Y,42.65197,-73.81477,"(42.65197, -73.81477)"
Albany,Veggie Mobile-Steamboat Square Apts,20 Rensselaer St. Albany,20 Rensselaer Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 11am-11:45am,Year-round,YR,N,Y,N,Y,42.64093,-73.75363,"(42.64093, -73.75363)"
Albany,Veggie Mobile-Thurlow Terrace,2 Thurlow Terrace Albany,2 Thurlow Terrace,Albany,NY,12203,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12pm-1pm,Year-round,YR,N,Y,N,Y,42.65998,-73.77276,"(42.65998, -73.77276)"
Albany,Veggie Mobile-Whitney Young Health Ctr,920 Lark Drive Albany,920 Lark Drive,Albany,NY,12207,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 11am-12pm,Year-round,YR,N,Y,N,Y,42.66215,-73.74859,"(42.66215, -73.74859)"
Allegany,Alfred Farmers' Market,3 South Main St.,3 South Main Street,Alfred,NY,14802,Amanda Khodarkavskaya,6075878834,http://www.alfredfarmersmarket.com,Sunday  11am-3pm,June 12-October 30,M,Y,Y,N,Y,42.25359,-77.79036,"(42.25359, -77.79036)"
Allegany,Backporch Produce,10260 Fairview Rd Farmersville Station,10260 Fairview Rd,Farmersville Station,NY,14060,Cheri Stresing,7169468308,http://www.backporchproduce.com,Daily  9am-8pm,Year-round,YR,N,N,N,Y,42.44791997,-78.29298113,"(42.44791997, -78.29298113)"
Allegany,Belmont Farmers' Market,5429 NYS Route 19N,5429 NYS Route 19 N,Belmont,NY,14813,Debra Wagoner,5856108836,,Thursday 11am-4pm,June 2-October 13,M,Y,Y,N,Y,42.2356,-78.05212,"(42.2356, -78.05212)"
Allegany,Fillmore Farmers' Market,"Fillmore Central School , 35 S Genesee St",35 South Genesee Street,Fillmore,NY,14735,Debra Wagoner,5856108836,,Sat 9am-1pm,May 28-October 1,M,Y,Y,N,Y,42.46481,-78.11218,"(42.46481, -78.11218)"
Allegany,Wagoner Bees & Produce Farm Stand,11137 Wayne Rd.  Fillmore,11137 Wayne Rd.,Fillmore,ny,14735,Terry Wagoner,5856108836,,"M/W 2-6, T 3-7, F 1-6, Sat 12-6  Sun 1-5",May 15-October 31,P/M,Y,Y,N,Y,42.48057,-78.09042,"(42.48057, -78.09042)"
Bronx,170 Farm Stand,1411 Townsend Ave. and 170th St.,1406 Townsend Ave. and 170th Street,Bronx,NY,10452,Gus Stavroulakis,7187585901,http://www.newsettlement.org/170FarmStand,Wed  2:30-6pm,July 13-November 23,M,Y,Y,N,Y,40.84009,-73.9166,"(40.84009, -73.9166)"
Bronx,Harvest Home Co-op City Farm Stand,Asch Loop & Aldrich St.,199 Aldrich St.,Bronx,NY,10475,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wed 8am-4pm,June 15-November 23,M,Y,Y,N,Y,40.87025,-73.83097,"(40.87025, -73.83097)"
Bronx,Harvest Home Hunts Point Farmers' Market,"Monsignor Del Valle Park, E 163 St btwn Southern & Bruckner Blvds",925 Hunts Point Ave.,Bronx,NY,10474,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wed 8am-4pm,June 15-November 23,M,Y,Y,N,Y,40.82073,-73.89088,"(40.82073, -73.89088)"
Bronx,Harvest Home Jacobi Hospital Fri Farmers Market,1400 Pelham Parkway,1400 Pelham Parkway,Bronx,NY,10461,Maritza Owens,2128283361,http://www.harvesthomefm.org,Fri  8am-4pm,June 24-November 18,M,Y,Y,N,Y,40.85738,-73.84631,"(40.85738, -73.84631)"
Bronx,Harvest Home Mt. Eden Farmers' Market,"Claremont Park, Mt. Eden PKWY  & Morris Ave",Mt Eden Pkwy and Morris Ave,Bronx,NY,10457,Maritza Owens,2128283361,http://www.harvesthomefm.org,Tue/Thu 8am-4pm,June 7-November 22,M,Y,Y,N,Y,40.84305,-73.90947,"(40.84305, -73.90947)"
Bronx,Harvest Home N Central Bronx Farmers' Market,E. Mosholu Parkway N. & Jerome Ave.,Jerome Ave and East Mosholu Pkwy North,Bronx,NY,10467,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wed 8am-4pm,June 15-November 23,M,Y,Y,N,Y,40.88046,-73.88385,"(40.88046, -73.88385)"
Bronx,Harvest Home St. Marys Park Farm Stand,E 149th St. & Eagle Ave,646 E 149th St,Bronx,NY,10455,Maritza Owens,2128283361,http://www.harvesthomefm.org,Thursday  8am-4pm,July 7-November 17,M,Y,Y,N,Y,40.81099,-73.91173,"(40.81099, -73.91173)"
Bronx,Healthy Choice Farmers' Market Farm Stand,1434 Longfellow Ave. Bronx,1434 Longfellow Ave.,Bronx,NY,10459,Sandy Helms,7185893060,,Thu  10:30am-1:30pm,April 7-June 24; July 18-August 8,P/M,Y,N,N,Y,40.830746,-73.886882,"(40.830746, -73.886882)"
Bronx,La Familia Verde Farmers' Market,Walter Gladwin Park,East Tremont Ave and Arthur Ave,Bronx,NY,10457,Aleyna Rodriguez,7185831765,http://www.lafamiliaverde.org,Tue 8am-2pm,July 12-November 15,M,Y,Y,N,Y,40.84643,-73.89334,"(40.84643, -73.89334)"
Bronx,Lincoln Hospital Fri Greenmarket,234 E 149th St btwn Park and Morris Aves Bronx,East 149th St and Morris Ave,Bronx,NY,10451,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Friday  8am-3pm,Year-round,YR,N,Y,N,Y,40.8174,-73.92276,"(40.8174, -73.92276)"
Bronx,New Roots Community Farm Stand,670 Grand Concourse Bronx,670 Grand Concourse,Bronx,NY,10451,Sheryll Durrant,2123774747,,Sat 10am-3pm,July 9-October 29,M,Y,Y,N,Y,40.82172,-73.92524,"(40.82172, -73.92524)"
Bronx,Norwood GrowNYC Farm Stand,E Gun Hill Rd. & Dekalb Ave.,Dekalb Ave. and East Gun Hill Rd.,Bronx,NY,10467,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Thursday  8:30am-4pm,Year-round,YR,N,Y,N,Y,40.88223,-73.88048,"(40.88223, -73.88048)"
Bronx,Riverdale Y Sunday Farmers' Market,4545 Independence Ave. Bronx,649 W 237th St,Bronx,NY,10463,Shira Silverman,7188771270,,Sun 9am-2pm,April 3-December 18,P/M/X,Y,Y,N,Y,40.888442,-73.912784,"(40.888442, -73.912784)"
Bronx,Van Cortlandt Park Alliance Farm Stand,Corner of Gale Place and Orloff Ave,98 Van Cortlandt Park South,Bronx,NY,10563,Sara Kempton,7186011553,,Wed 2p-7p,July 6-October 26,M,Y,Y,N,Y,,,
Broome,Broome Co Regional Sat Farmers' Market,840 Upper Front St. Binghamton,840 Upper Front St.,Binghamton,NY,13905,Amanda Poodiack,6077728953,http://www.broomecountyregionalmarket.com,Saturday  9am-1pm,Year-round,YR,N,Y,Y,Y,42.12921,-75.90609,"(42.12921, -75.90609)"
Broome,Russell Farms Farm Stand,2911 Old Vestal Rd Vestal,2909 Old Vestal Rd,Vestal,NY,13850,Allison Russell,6079725793,http://www.russell-farm.com,"Mon-Fri 8am-7pm, Sat 8am-6pm",May 1-November 20,M,Y,Y,N,Y,42.1009,-76.0078,"(42.1009, -76.0078)"
Cattaraugus,Canticle Farm Market,3809 Old State Road Allegany,3809 Old State Road,Allegany,NY,14706,Mark Printz,7163789714,http://www.canticlefarm.org,"Tue/Fri 12pm-6pm, Dec-June: Tue only",Year-round,YR,Y,Y,N,Y,42.09601,-78.50618,"(42.09601, -78.50618)"
Cattaraugus,Enchanted Mountains Farmers Market,1900 Constituion Ave Olean,1900 Constituion Ave,Olean,NY,14760,Tammy Gardner,7165435475,,Fri 2pm-6pm,May 27-October 28,P/M,Y,Y,N,Y,42.08304,-78.45343,"(42.08304, -78.45343)"
Cattaraugus,Little Valley Farmers' Market,103 Rock City St. Little Valley,103 Rock City Street,Little Valley,NY,14475,Tina Armstrong,7162006946,,Thu 2pm-6pm,May 5-October 27,M,Y,Y,N,Y,42.2489,-78.7989,"(42.2489, -78.7989)"
Cattaraugus,Miller's Farm Market,1685 Olean Portville Rd. Olean,1685 Olean Portville Rd.,Olean,NY,14760,Shanna Miller,7163722521,,"Mon-Sat  9am-6pm, Sun  9am-5pm",April 15-December 24,P/M/X,Y,Y,N,Y,42.071439,-78.39814,"(42.071439, -78.39814)"
Cattaraugus,Putt Farm Stand,3508 West Branch Road  Allegany NY,3508 West Branch Road,Allegany,NY,14706,Pamela Putt,7165449537,,"Mon-Wed 10-5p; Thu 10a-6p, Fri 9-1; Sat 10-7; Sun 1-5",July 25-October 29,M,Y,N,N,Y,42.06489,-78.49288,"(42.06489, -78.49288)"
Cattaraugus,South Dayton Farmers' Market,Railroad St.,Railroad Street,South Dayton,NY,14138,Karen Strickland,7166729004,,Sat 9am-1pm,May 7-October 29,P/M,Y,Y,N,Y,42.3609,-79.04925,"(42.3609, -79.04925)"
Cayuga,Centurion Farm Stand,287 Creek Road Locke,287 Creek Road,Locke,NY,13092,Jeff Saeli,6075925810,,"Thu-Sat 9am-7pm, Mon-Wed By Appt",May 1-November 30,P/M,Y,N,N,Y,42.6309,-76.45455,"(42.6309, -76.45455)"
Cayuga,Moravia Farmers' Market,Kinney Drug Store pkg lot 130 Main St.,130 Main St,Moravia,NY,13118,Jayne Andrews,3157301412,,Thursday  10am-2pm,June 2-October 29,M,N,N,N,Y,42.71209,-76.42079,"(42.71209, -76.42079)"
Cayuga,Owen Orchards Farm Stand,8174 Grant Ave. Weedsport,8174 Grant Ave.,Weedsport,NY,13166,Gordon Tripp,3152524097,http://www.owenorchard.com,"Mon-Fri 9am-7pm, Sat 9am-6pm  Sun 9am-5pm","Aug 1-March 31, 2023",M/X/W,Y,Y,N,Y,43.01314,-76.50749,"(43.01314, -76.50749)"
Chautauqua,Abers Acres Farm Stand,884 Route 394  Kennedy,884 Rte. 394,Kennedy,NY,14747,Sue Abers,7162672431,http://www.abersacres.com,"Daily 9am-6:30pm, Nov-May 10am-5pm",Year-round,YR,N,Y,N,Y,42.14495,-79.10996,"(42.14495, -79.10996)"
Chautauqua,Dunkirk Farmers' Market,Dunkirk Senior Center 45 Cliffstar Court,45 Cliffstar Court,Dunkirk,NY,14048,Edward Hayes,7163669876,http://www.cityofdunkirk.com,Wed 9am-2pm,June 8-October 12,M,Y,Y,N,Y,42.48481,-79.32751,"(42.48481, -79.32751)"
Chautauqua,Fredonia Farmers' Market,"Village Hall Barker Commons , 9 Church St.",11 Church St,Fredonia,NY,14063,Anneliese Bruegel,7166802104,,Sat 9am-1pm,Year-round,YR,Y,Y,N,Y,42.44064,-79.33235,"(42.44064, -79.33235)"
Chautauqua,Fredonia WINTER Farmers' Market,329 East Main St. (Rt 20) Masonic Lodge,321 East Main St. (Rte 20),Fredonia,NY,14063,Rosemary Joy,7164107313,http://www.fredoniafarmersmarket.org,Saturday 10am-1pm,"Nov 6-May 14, 2022",M/X/W/P,N,Y,Y,Y,42.44764,-79.315,"(42.44764, -79.315)"
Chautauqua,Jamestown Mobile Market-Chautaqua Center,410 N Main St. Jamestown,410 North Main Street,Jamestown,NY,14701,Linnea Carlson,7162260650,http://jtownpublicmarket.org,"Wed 10am-2pm, Thu 1pm-5pm",June 15-September 28,M,Y,N,N,Y,42.09308,-79.23505,"(42.09308, -79.23505)"
Chautauqua,Jamestown Mobile Market-Prendergast Library,509 Cherry St. Jamestown,509 Cherry Street,Jamestown,NY,14701,Linnea Carlson,7162260650,http://jtownpublicmarket.org,"Wed 10am-2pm, Thu 1pm-5pm",June 15-September 28,M,Y,Y,N,Y,42.09831,-79.24361,"(42.09831, -79.24361)"
Chautauqua,Jamestown Mobile Market-Silver Tree Seniors,9 Crane St. Jamestown,9 Crane Street,Jamestown,NY,14701,Linnea Carlson,7162260650,http://jtownpublicmarket.org,"Wed 10am-2pm, Thu 1pm-5pm",June 15-September 28,M,Y,Y,N,Y,42.09627,-79.23317,"(42.09627, -79.23317)"
Chautauqua,Jamestown Public Market,Third Street,Cherry and West 2nd St,Jamestown,NY,14701,Linnea Carlson,7162260650,,Sat 10am-2pm,June 11-October 29,M,Y,Y,N,Y,42.09567,-79.24234,"(42.09567, -79.24234)"
Chautauqua,Roberto Fred Farm Stand,10655 Temple Rd Dunkirk,10655 Temple Rd,Dunkirk,NY,14048,Roberto Fred,7163667200,,Daily 9am-6pm,June 1-November 30,M,N,Y,N,Y,42.464201,-79.361694,"(42.464201, -79.361694)"
Chautauqua,Westfield Farmers and Artisans Market,Moore Park Rt 20 and Rt 394,Rt 20 and Rt 394,Westfield,NY,14787,Kathleen Mayer,7167530367,http://www.westfieldny.com/farmers-market,Sat 9am-2pm,May 28-October 29,P/M,Y,N,N,Y,42.32203,-79.57812,"(42.32203, -79.57812)"
Chemung,EastSide Farmers' Market,Brand Park 301-311 Maple Ave,760 East Water St,Elmira,NY,14901,Michelle Podolec,6077344453,,Tuesday  3pm-6pm,June 21-September 27,M,N,Y,N,Y,42.08905,-76.7922,"(42.08905, -76.7922)"
Chemung,Grove Park Farmers' Market,4th St. & Walnut Ave. Elmira,Walnut Ave and West 4th St,Elmira,NY,14901,Matthew Glenn,6075464535,,Monday  3pm-6pm,June 6-October 31,M,Y,N,N,Y,42.0921,-76.82013,"(42.0921, -76.82013)"
Chemung,Wisner Park Farmers' Market,208 W Grey St. Elmira,208 W Grey Street,Elmira,NY,14901,Tiffany Millerd,6077340341,http://www.wisnermarket.org,Thu 10am-2pm,June 2-September 29,M,Y,Y,N,Y,42.08943,-76.80801,"(42.08943, -76.80801)"
Chenango,Community Farmers' Market,East Park Norwich,East Park Place,Norwich,NY,13815,Carol Eichler,6073347674,,Fri/Sat 9am-3pm,May 1-November 30,P/M,Y,N,N,Y,42.53184,-75.5229,"(42.53184, -75.5229)"
Chenango,Lamb's Quarters Organic Farm Stand,213 Pierce Rd.  Plymouth,213 Pierce Road,Plymouth,NY,13832,Sandy Pierce,6073344928,http://www.lambsquarterorganicfarm.com,"Daily  12pm-6pm, Closed  Wed & Sat",Year-round,YR,N,Y,N,Y,42.60058,-75.59991,"(42.60058, -75.59991)"
Chenango,Pires Farmers' Market,6066 State Hwy 12  Norwich,6066 State Highway 12,Norwich,NY,13815,Richard Williams,6073342676,,"Mon-Fri 9am-5pm, Sat 9am-4pm Sun 10am-2pm",May 1-November 30,P/M,Y,Y,N,Y,42.54525,-75.52498,"(42.54525, -75.52498)"
Chenango,Sunrise Farms Farm Stand,252 Plymouth-North Norwich Rd.  Plymouth,252 Plymouth-North Norwich Rd.,Plymouth,NY,13832,Kathryn Clemens,6073365834,,"Mon-Fri  9am-5pm, Sunday  9am-2pm",Year-round,YR,N,N,N,Y,42.62427,-75.59152,"(42.62427, -75.59152)"
Clinton,Champlain Farmers' Market,Paquette Park Gazebo Main Street (rte 9),Main Street,Champlain,NY,12919,Janet McFetridge,5182984152,http://www.vchamplain.com,Saturday  9am-12pm,July 1-September 30,M,N,N,N,Y,44.98721,-73.44961,"(44.98721, -73.44961)"
Clinton,JCEO MM-Akwasasne Housing Authority,29 Business Park Rd Hoagansburg,29 business Park Rd,Hoagansburg,NY,12195,Robert King,5183194028,http://www.jceo.org,Wed 10am-12pm,June 1-September 30,M,Y,Y,N,Y,44.97626,-74.67137,"(44.97626, -74.67137)"
Clinton,JCEO MM-Churubusco Senior Center,23 Smith St. Churubusco,23 Smith St.,Churubusco,NY,12934,Robert King,5183194028,http://www.jceo.org,Mon 10am-11:45am,June 1-September 30,M,Y,Y,N,Y,44.95591,-73.92805,"(44.95591, -73.92805)"
Clinton,JCEO MM-Ellenburg Center Senior Ctr,5538 Old State Rd Ellenburg Center,5538 Old State Rd,Ellenburg Center,NY,12934,Robert King,5183194028,http://www.jceo.org,Mon 12:10pm-2pm,June 1-September 30,M,Y,Y,N,Y,44.89508,-73.87197,"(44.89508, -73.87197)"
Clinton,Plattsburgh Farmers' and Craft Sat Market,Green St.,Broad St and Durkee St,Plattsburgh,NY,12901,Julie Baughn,5188027164,http://www.facebook.com/pages/Plattsburgh-Farmers-and-Crafters-Market/121588034547095,Sat 9am-3pm,May 7-October 8,P/M,Y,N,N,Y,44.69535,-73.45226,"(44.69535, -73.45226)"
Clinton,Prays Family Farm Stand-Plattsburgh,605 State Route 3 Plattsburgh,605 State Route 3,Plattsburgh,NY,12944,Maureen Pray,5185695307,,Daily  8:30am-6pm,Year-round,YR,N,N,N,Y,44.6948,-73.5069,"(44.6948, -73.5069)"
Clinton,Rouses Point Farmers' Market,Dodge Memorial Library 144 Lake St.,144 Lake Street,Rouses Point,NY,12979,Jim Rabideau,5182983878,,Friday  3pm-7pm,June 24-September 30,M,N,N,N,Y,44.99038,-73.36434,"(44.99038, -73.36434)"
Clinton,Rulfs Orchard Farm Stand,531 Bear Swamp Road Peru,531 Bear Swamp Road,Peru,NY,12972,Shannon Wilkins,5186438636,http://www.rulfsorchard.com,Daily 6am-6pm,Year-round,YR,N,N,N,Y,44.5786,-73.49804,"(44.5786, -73.49804)"
Clinton,Shield's Vegetables Farm Stand,6303 State Route 22  Plattsburgh,6303 State Route 22,Plattsburgh,NY,12901,Sam Dyer,5185610473,,Daily 10am-6pm,July 15-October 31,M,Y,Y,N,Y,44.73789,-73.47064,"(44.73789, -73.47064)"
Columbia,City of Hudson Farmers' Market,DMV parking lot Sixth & Columbia Sts.,Columbia St and North 6th St,Hudson,NY,12534,Brandon Bjerke,5183003496,http://www.hudsonfarmersmarketny.com,Sat 9am-1pm,April 23-November 19,P/M,Y,Y,N,Y,42.24866,-73.78369,"(42.24866, -73.78369)"
Columbia,City of Hudson WINTER Farmers' Market,"601 Union St. Hudson, sidewalk",601 Union St.,Hudson,NY,12534,Marilyn Cederoth,5189650552,http://www.hudsonfarmersmarketny.com,Saturday  10am-1pm,"December 3-December 24, 2022",X,N,N,N,Y,42.24738,-73.78535,"(42.24738, -73.78535)"
Columbia,Copake Hillsdale Farmers' Market,Roeliff Jansen Park 9140 Route 22,9140 Route 22,Hillsdale,NY,12529,Diane Creed,5183251430,http://www.copakehillsdalefarmersmarket.com,Sat 9am-1pm,May 21-November 19,P/M,Y,Y,N,Y,42.17077,-73.51771,"(42.17077, -73.51771)"
Columbia,Germantown Farmers Market,50 Palatine Park Road Germantown,50 Palatine Park Road,Germantown,NY,12526,Lauren Williams,5185675691,,Saturday 10am-1pm,May 28October 29,P/M,N,N,N,Y,42.135,-73.88551,"(42.135, -73.88551)"
Columbia,Scarecrow Farm Stand,20 Old Barrington Rd  Hudson,20 Old Barrington Rd,Claverack,NY,12534,Virginia Ambrose,5188212453,http://www.scarecrowfarmny.com,"Thu/Fri/Sun 11am-5pm, Mon/Wed call for appt.",June 15-November 1,M,Y,Y,N,Y,42.2105,-73.67909,"(42.2105, -73.67909)"
Cortland,Cincinnatus Farmers' Market,"Cortland-Chenango Rural Services, 2704 Lower Cincinnatus Rd.",2704 Lower Cincinnatus Rd,Cincinnatus,NY,13040,Paul Halstead,6078368972,,Sat 9am-12pm,June 4-October 15,M,Y,N,N,Y,42.53812,-75.89662,"(42.53812, -75.89662)"
